turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words,Prev_Topic,New_Topic,Number
36,5cf6231511ba980001e3aa3d,234.55,234.97,would hope,a,1,5f49553539747213d0e5f1ae,234.71,234.77,-0.16,0.42,0,FALSE,TRUE,2,,,
37,5f49553539747213d0e5f1ae,234.77,234.97,lot,,0,,,,-0.2,0.2,0,FALSE,TRUE,1,,,
38,5cf6231511ba980001e3aa3d,234.97,235.04,for,,0,,,,0,0.07,0,FALSE,FALSE,1,,,
39,5f49553539747213d0e5f1ae,234.97,235.22,of,,0,,,,-0.07,0.25,0,FALSE,TRUE,1,,,
40,5cf6231511ba980001e3aa3d,235.04,235.25,"them,",,0,,,,-0.18,0.21,0,FALSE,TRUE,1,,,
41,5f49553539747213d0e5f1ae,235.23,237.34,"online classes before, so it hasn't",,0,,,,-0.02,2.11,0,FALSE,TRUE,7,,,
42,5cf6231511ba980001e3aa3d,237.34,237.45,you,,0,,,,0,0.11,0,FALSE,FALSE,1,,,
43,5f49553539747213d0e5f1ae,237.34,237.45,been,,0,,,,-0.11,0.11,0,FALSE,TRUE,1,,,
44,5cf6231511ba980001e3aa3d,237.45,237.76,know.,,0,,,,0,0.31,0,FALSE,FALSE,1,,,
45,5f49553539747213d0e5f1ae,237.45,240.34,"a hard transition. And again, I actually",Okay.,1,5cf6231511ba980001e3aa3d,238.74,239.36,-0.31,2.89,0,FALSE,TRUE,7,,,
46,5cf6231511ba980001e3aa3d,240.14,240.35,What,,0,,,,-0.2,0.21,0,FALSE,TRUE,1,,,
47,5f49553539747213d0e5f1ae,240.34,240.46,kind,,0,,,,-0.01,0.12,0,FALSE,TRUE,1,,,
48,5cf6231511ba980001e3aa3d,240.35,240.76,"about,",,0,,,,-0.11,0.41,0,FALSE,TRUE,1,,,
49,5f49553539747213d0e5f1ae,240.46,240.66,"of like,",,0,,,,-0.3,0.2,0,FALSE,TRUE,2,,,
50,5cf6231511ba980001e3aa3d,241.54,244.15,do you guys have lab work to do or? No.,,0,,,,0.88,2.61,1,FALSE,FALSE,10,,,
51,5f49553539747213d0e5f1ae,244.94,255.05,"no, no master public health is pretty, yeah, no lab work, so that's good. But I know a lot of the med students at school are like coming in for labs only. So",Okay. Okay. Okay.,3,5cf6231511ba980001e3aa3d,245.74,251.15,0.79,10.11,0,FALSE,FALSE,34,,,
52,5cf6231511ba980001e3aa3d,255.04,274.89,"Yeah, I wasn't sure. And I was like thinking a lot about like all my friends that did art degrees and how difficult it would be not having access to like the studios and stuff or how they were working that out. It seemed like maybe not the best return on your investment for",,0,,,,-0.01,19.85,0,FALSE,TRUE,55,,,
53,5f49553539747213d0e5f1ae,274.84,275.35,shouldn't,,0,,,,-0.05,0.51,0,FALSE,TRUE,2,,,
54,5cf6231511ba980001e3aa3d,274.89,278.74,how expensive the education is. Uh,,0,,,,-0.46,3.85,0,FALSE,TRUE,6,masters program,price of education,5
55,5f49553539747213d0e5f1ae,277.54,285.89,"So true. I, I keep feeling like I'm really glad that I'm in the time of life that I am in like graduate school, a degree that can be done online anyway. I got to","yeah,",1,5cf6231511ba980001e3aa3d,278.75,279.24,-1.2,8.35,0,FALSE,TRUE,37,,,
56,5cf6231511ba980001e3aa3d,285.84,286.46,I,,0,,,,-0.05,0.62,0,FALSE,TRUE,1,,,
57,5f49553539747213d0e5f1ae,285.89,289.83,"be really sad if I was, my undergrad experience was messed up like this.",,0,,,,-0.57,3.94,0,FALSE,TRUE,14,,,
58,5cf6231511ba980001e3aa3d,289.74,290.73,"totally,",,0,,,,-0.09,0.99,0,FALSE,TRUE,1,,,
59,5f49553539747213d0e5f1ae,289.83,290.35,So,,0,,,,-0.9,0.52,0,FALSE,TRUE,1,,,
60,5cf6231511ba980001e3aa3d,290.74,300.06,do you feel like you're missing out on networking at all opportunities though are like getting developed to develop like closer relationships with their classmates and professors.,,0,,,,0.39,9.32,0,FALSE,FALSE,28,price of education,networking/online,6
61,5f49553539747213d0e5f1ae,300.84,316.29,"yeah, I I think I I miss the associated with my fellow students um As far as the other networking though, I think that I've actually been fortunate because I was able to kind of form those connections my first year because I'm in my second year, second last year",Mm Okay.,2,5cf6231511ba980001e3aa3d,306.34,314.96,0.78,15.45,0,FALSE,FALSE,52,,,
62,5cf6231511ba980001e3aa3d,315.44,316.52,"Oh, that's helpful",,0,,,,-0.85,1.08,0,FALSE,TRUE,4,,,
63,5f49553539747213d0e5f1ae,316.3,316.59,without,,0,,,,-0.22,0.29,0,FALSE,TRUE,1,,,
64,5cf6231511ba980001e3aa3d,316.52,316.82,to.,,0,,,,-0.07,0.3,0,FALSE,TRUE,1,,,
65,5f49553539747213d0e5f1ae,316.59,318.05,help. Yeah. For,Okay.,1,5cf6231511ba980001e3aa3d,316.83,317.26,-0.23,1.46,0,FALSE,TRUE,3,,,
66,5cf6231511ba980001e3aa3d,317.94,318.44,"Yeah,",,0,,,,-0.11,0.5,0,FALSE,TRUE,1,,,
67,5f49553539747213d0e5f1ae,318.05,324.35,"those who are just coming in right now, I don't know, it would be so hard. You have to really be extroverted online, so",,0,,,,-0.39,6.3,0,FALSE,TRUE,25,,,
68,5cf6231511ba980001e3aa3d,324.44,359.15,"totally. And like, I think also you just like present differently online sometimes for better or worse. I don't know. It probably varies by prison, but um, I always thought I can study on my own. The value to me in pain for this education is like the connections that I'm going to make here. And so to me it would be like a huge disadvantage if I was like the leader, I was like, you know, in all the clubs and like leadership activities and stuff. So that I would have been really like, I don't know how we would have organized all of our different, right?",Yeah.,1,5f49553539747213d0e5f1ae,356.64,356.96,0.09,34.71,1,TRUE,FALSE,111,,,
